"","ASV2","ASV4","ASV6","ASV8","ASV16","ASV18","ASV19","ASV28","ASV34","ASV35","ASV41","ASV46","ASV49","ASV53","ASV56","ASV61","ASV64","ASV73","ASV75","ASV80","ASV99","ASV108","ASV110","ASV111","ASV112","ASV127","ASV130","ASV131","ASV137","ASV140","ASV147","ASV152","ASV156","ASV159","ASV160","ASV162","ASV180","ASV183","ASV193","ASV201","ASV203","ASV222","ASV223","ASV229","ASV231","ASV237","ASV243","ASV245","ASV247","ASV250","ASV252","ASV253","ASV254","ASV271","ASV286","ASV300","ASV302","ASV304","ASV311","ASV320","ASV324","ASV331","ASV343","ASV350","ASV357","ASV360","ASV363","ASV364","ASV365","ASV369","ASV382","ASV423","ASV426","ASV437","ASV467","ASV468","ASV480","ASV483","ASV491","ASV494","ASV518","ASV550","ASV553","ASV564","ASV575","ASV581","ASV589","ASV605","ASV607","ASV609","ASV630","ASV638","ASV639","ASV642","ASV645","ASV673","ASV682","ASV684","ASV685","ASV689","ASV692","ASV693","ASV720","ASV750","ASV756","ASV760","ASV785","ASV788","ASV792","ASV794","ASV800","ASV801","ASV804","ASV835","ASV840","ASV843","ASV863","ASV864","ASV867","ASV869","ASV877","ASV898","ASV915","ASV922","ASV924","ASV942","ASV965","ASV1008","ASV1034","ASV1039","ASV1041","ASV1046","ASV1050","ASV1072","ASV1075","ASV1088","ASV1107","ASV1141","ASV1144","ASV1155","ASV1162","ASV1168","ASV1179","ASV1192","ASV1196","ASV1219","ASV1236","ASV1249","ASV1263","ASV1294","ASV1344","ASV1361","ASV1362","ASV1373","ASV1374","ASV1393","ASV1417","ASV1419","ASV1422","ASV1439","ASV1440","ASV1467","ASV1489","ASV1492","ASV1501","ASV1506","ASV1513","ASV1557","ASV1566","ASV1570","ASV1589","ASV1592"
"SedPBSB18",0,166,0,0,0,0,12,0,0,0,44,0,0,0,168,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedPBSC17",0,78,0,0,0,0,0,0,0,0,140,0,0,0,15,6,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedPBSC18",0,31,0,0,2,0,1,0,1,0,63,0,0,4,18,13,33,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,5,0,0,17,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SedPBSD17",0,157,0,0,0,0,0,0,0,0,181,0,0,0,17,56,22,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,21,0,98,0,0,0,84,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedPBSD18",0,35,0,0,2,0,2,0,0,0,60,0,0,1,6,10,61,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,9,0,3,0,4,0,0,0,0,0,0,0,25,0,0,0,12,0,12,4,0,0,1,0,0,0,0,3,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedPBSF18",0,85,0,0,0,0,4,0,6,0,34,0,0,1,68,6,55,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,47,0,0,0,0,0,0,0,2,0,3,0,0,0,5,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedTQNA17",0,783,0,0,5,0,0,0,59,0,66,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedTQNA18",0,854,0,0,0,0,0,0,4,0,1,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedTQNB17",0,856,0,0,2,4,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SedTQNB18",0,881,0,0,2,1,0,0,3,0,2,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
